,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
UGC5272A,1.06,0.02,0.014,0.002,0.084,0.002,0.375,0.007,0.197,0.004,0.194,0.004,0.015,0.003,,,0.26,0.01,0.46,0.01,0.083,0.002,0.036,0.002,,,,,1.0,0.02,1.66,0.03,4.94,0.1,,,0.101,0.001,0.013,0.001,0.02,0.001,0.004,0.001,0.01,0.001,2.83,0.06,0.035,0.001,0.029,0.002,0.079,0.002,0.055,0.002,0.08,0.01,101.0,2.0,201,943
UGC5340A,0.58,0.02,,,0.05,0.01,0.16,0.01,0.17,0.01,0.47,0.01,,,,,0.25,0.01,0.47,0.01,0.06,0.01,0.04,0.01,,,0.024,0.002,1.0,0.02,0.64,0.01,1.89,0.04,,,0.09,0.01,,,,,,,,,2.81,0.06,0.016,0.003,0.023,0.007,0.05,0.007,0.05,0.007,0.0,0.01,13.6,0.27,99.2,549
UGC5423A,2.08,0.04,,,0.12,0.01,0.33,0.01,0.24,0.01,0.28,0.01,,,0.03,0.01,0.26,0.01,0.46,0.01,0.07,0.004,0.033,0.004,,,0.019,0.002,1.0,0.02,1.16,0.02,3.49,0.01,0.012,0.004,0.1,0.01,0.08,0.004,0.021,0.004,0.02,0.004,0.035,0.004,2.86,0.06,0.12,0.004,0.027,0.003,0.31,0.006,0.22,0.006,0.24,0.01,22.8,0.46,94.8,438
UGC5423B,1.78,0.04,,,,,0.28,0.02,0.32,0.02,0.5,0.02,,,,,0.26,0.02,0.46,0.01,0.07,0.01,,,,,,,1.0,0.02,1.24,0.02,3.71,0.07,,,0.11,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.026,0.009,2.86,0.06,0.082,0.009,0.029,0.007,0.153,0.007,0.11,0.007,0.29,0.02,9.38,0.19,51.4,247
UGC5672A,3.28,0.04,,,,,0.2,0.04,0.16,0.04,0.19,0.04,,,,,0.25,0.03,0.42,0.03,0.04,0.02,,,,,,,1.0,0.02,0.85,0.02,2.51,0.05,,,0.11,0.01,0.04,0.01,,,,,0.12,0.02,2.87,0.07,0.23,0.02,,,0.31,0.01,0.22,0.01,0.4,0.02,5.8,0.12,14.6,67.4
UGC5692A,2.47,0.06,,,,,0.21,0.05,0.24,0.05,,,,,,,0.22,0.04,0.54,0.03,0.06,0.03,,,,,,,1.0,0.02,0.57,0.02,1.7,0.03,,,0.14,0.03,,,,,,,0.1,0.02,2.79,0.06,0.38,0.02,,,0.61,0.02,0.4,0.02,0.25,0.01,4.71,0.1,24.3,120
UGC5797A,1.59,0.03,,,0.27,0.04,0.52,0.04,0.36,0.03,0.32,0.03,,,,,0.28,0.02,0.47,0.02,0.09,0.02,,,,,0.036,0.006,1.0,0.02,1.85,0.04,5.53,0.11,,,0.09,0.01,0.05,0.02,0.02,0.02,0.05,0.02,0.03,0.01,2.84,0.06,0.09,0.01,,,0.22,0.01,0.15,0.01,0.15,0.01,8.4,0.17,23.8,111
UGC5923A,4.06,0.11,,,0.18,0.03,0.24,0.03,0.33,0.03,0.2,0.03,,,,,0.24,0.02,0.51,0.02,0.06,0.01,,,,,,,1.0,0.02,0.84,0.02,2.48,0.05,,,,,0.06,0.01,0.02,0.01,0.02,0.01,0.07,0.01,2.78,0.07,0.24,0.01,0.03,0.01,0.31,0.01,0.22,0.01,0.51,0.02,20.2,0.4,16.0,75.3
NGC3741A,1.6,0.03,,,,,0.24,0.01,0.21,0.01,0.49,0.01,,,,,0.25,0.01,0.46,0.01,0.06,0.01,0.026,0.003,,,,,1.0,0.02,0.94,0.02,2.84,0.06,,,0.097,0.003,0.022,0.002,0.018,0.002,0.004,0.002,0.017,0.003,2.83,0.06,0.051,0.003,0.026,0.002,0.122,0.002,0.088,0.002,0.1,0.01,45.0,0.9,59.9,330
NGC3738A,2.91,0.06,,,,,0.28,0.01,0.11,0.01,0.39,0.01,,,,,0.23,0.01,0.47,0.01,0.031,0.006,0.03,0.01,,,,,1.0,0.02,0.98,0.02,2.96,0.06,0.011,0.005,0.12,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.06,0.01,2.83,0.06,0.19,0.01,0.03,0.01,0.32,0.01,0.23,0.01,0.04,0.01,58.7,1.2,35.2,183
NGC3738B,3.45,0.07,,,,,0.31,0.04,0.32,0.04,0.24,0.04,,,,,0.24,0.02,0.45,0.01,0.04,0.01,,,,,,,1.0,0.02,1.03,0.02,3.11,0.06,,,0.15,0.02,0.06,0.01,,,0.02,0.01,0.06,0.01,2.82,0.06,0.2,0.01,,,0.29,0.01,0.21,0.01,0.19,0.01,24.8,0.5,23.4,121
UGC6817A,0.94,0.02,,,0.08,0.01,0.25,0.01,0.19,0.01,0.53,0.01,,,,,0.26,0.01,0.46,0.01,0.068,0.002,0.033,0.002,,,,,1.0,0.02,0.97,0.02,2.89,0.06,,,0.1,0.002,0.015,0.002,0.015,0.002,0.004,0.002,0.008,0.001,2.83,0.06,0.03,0.01,0.026,0.002,0.068,0.002,0.049,0.002,0.06,0.01,42.3,0.8,146,834
UGC6900A,4.13,0.27,,,,,,,,,,,,,,,0.31,0.09,0.55,0.06,,,,,,,,,1.0,0.11,0.23,0.1,0.6,0.1,,,,,,,,,0.29,0.11,0.16,0.1,2.83,0.1,0.52,0.1,,,1.11,0.09,0.64,0.09,0.09,0.01,1.49,0.17,20.0,75.5
NGC4163A,3.72,0.07,,,,,,,,,,,,,,,0.17,0.03,0.31,0.04,0.014,0.003,,,,,,,1.0,0.02,0.18,0.02,0.49,0.02,,,0.1,0.02,0.07,0.02,,,,,0.04,0.02,2.75,0.06,0.13,0.02,,,0.35,0.02,0.23,0.02,0.1,0.01,5.24,0.12,9.21,40.9
CGCG269-049C,1.76,0.04,,,,,,,,,,,,,,,0.2,0.06,0.29,0.06,0.05,0.01,,,,,,,1.0,0.05,0.52,0.04,1.53,0.04,,,,,,,,,,,0.02,0.04,2.79,0.06,,,,,,,,,0.16,0.01,1.71,0.08,6.8,37.2
CGCG269-049A,1.02,0.02,,,0.09,0.02,0.2,0.02,0.16,0.02,0.44,0.01,,,,,0.26,0.01,0.46,0.01,0.062,0.003,0.03,0.003,,,,,1.0,0.02,0.84,0.02,2.51,0.05,,,0.097,0.003,0.008,0.003,0.012,0.003,0.003,0.001,0.01,0.001,2.83,0.06,0.033,0.003,0.024,0.002,0.064,0.002,0.046,0.002,0.08,0.01,29.1,0.6,81.3,434
UGC7577A,1.65,0.03,,,0.06,0.02,0.47,0.02,0.2,0.02,0.34,0.02,,,,,0.25,0.02,0.47,0.01,0.08,0.01,0.04,0.01,,,,,1.0,0.02,1.86,0.04,5.25,0.11,,,0.11,0.02,,,,,,,0.03,0.01,2.79,0.06,0.09,0.01,0.03,0.01,0.2,0.01,0.15,0.01,0.05,0.01,12.5,0.3,216,854
NGC4449C,3.26,0.07,,,0.04,0.01,0.19,0.01,0.17,0.01,0.19,0.01,,,,,0.26,0.01,0.45,0.01,0.018,0.004,,,,,,,1.0,0.02,0.77,0.02,2.33,0.05,0.017,0.003,0.12,0.01,0.071,0.004,0.014,0.004,0.024,0.004,0.074,0.003,2.84,0.06,0.23,0.01,0.02,0.003,0.35,0.01,0.25,0.01,0.14,0.01,54.8,1.1,119,437
NGC4449B,3.04,0.07,,,0.05,0.01,0.19,0.01,0.19,0.01,0.19,0.01,,,,,0.25,0.01,0.48,0.01,0.018,0.003,0.032,0.003,,,,,1.0,0.02,0.84,0.02,2.54,0.05,0.013,0.002,0.106,0.002,0.05,0.002,0.012,0.002,0.015,0.002,0.074,0.002,2.86,0.06,0.205,0.004,0.025,0.002,0.28,0.01,0.2,0.01,0.21,0.01,64.4,1.3,119,587
NGC4449A,2.39,0.05,0.008,0.004,0.062,0.004,0.23,0.01,0.167,0.004,0.187,0.004,0.016,0.001,0.014,0.001,0.26,0.01,0.47,0.01,0.019,0.001,0.039,0.001,,,,,1.0,0.02,1.15,0.02,3.46,0.07,0.006,0.001,0.115,0.002,0.028,0.001,0.014,0.001,0.009,0.001,0.048,0.001,2.83,0.06,0.163,0.003,0.029,0.001,0.18,0.01,0.13,0.01,0.09,0.01,567.0,11.0,239,851
UGC7605A,1.91,0.04,,,,,0.18,0.02,0.15,0.02,0.18,0.02,,,,,0.25,0.02,0.46,0.01,0.04,0.01,0.02,0.01,,,,,1.0,0.02,0.76,0.01,2.33,0.05,,,0.07,0.02,0.05,0.02,0.01,0.02,,,0.015,0.018,2.83,0.06,0.066,0.018,0.05,0.01,0.15,0.01,0.09,0.01,0.06,0.01,6.37,0.13,75.8,611
UGC7639A,3.98,0.12,,,,,,,,,,,,,,,0.28,0.05,0.44,0.07,0.05,0.05,,,,,,,1.0,0.05,0.48,0.06,1.33,0.06,,,,,0.09,0.06,,,,,0.07,0.06,2.83,0.06,0.21,0.06,,,0.45,0.04,0.28,0.04,0.08,0.01,1.7,0.09,8.25,37.8
NGC4656A,0.8,0.03,,,0.08,0.02,0.5,0.02,0.19,0.02,0.29,0.02,,,,,0.25,0.02,0.45,0.01,0.09,0.01,,,,,,,1.0,0.02,2.29,0.05,6.71,0.13,,,,,0.02,0.01,0.03,0.01,0.01,0.01,0.009,0.009,2.86,0.06,0.023,0.009,,,0.07,0.01,0.04,0.01,0.24,0.01,43.4,0.9,171,1141
UGC8201A,1.62,0.03,,,,,0.25,0.01,0.23,0.01,0.19,0.01,,,,,0.26,0.01,0.47,0.01,0.05,0.01,0.05,0.01,,,,,1.0,0.02,0.99,0.06,2.94,0.06,,,0.11,0.01,0.06,0.01,0.02,0.01,0.04,0.01,,,2.81,0.06,0.04,0.01,0.03,0.01,0.1,0.01,0.07,0.01,0.15,0.01,8.87,0.18,120,547
UGC8245A,2.81,0.06,,,,,,,,,,,,,,,0.24,0.02,0.41,0.02,0.03,0.02,,,,,0.05,0.01,1.0,0.02,0.43,0.01,1.25,0.03,,,0.1,0.02,0.15,0.02,,,0.08,0.02,0.04,0.02,2.83,0.06,0.12,0.01,0.02,0.01,0.27,0.01,0.18,0.01,0.11,0.01,6.43,0.13,20.8,91.1
UGC8508A,1.47,0.03,,,,,0.29,0.02,0.26,0.02,0.49,0.02,,,,,0.24,0.02,0.45,0.01,0.06,0.01,0.03,0.01,,,,,1.0,0.02,1.08,0.02,3.25,0.06,,,0.1,0.01,0.04,0.01,0.02,0.01,0.02,0.01,,,2.83,0.06,0.05,0.01,0.029,0.001,0.12,0.01,0.08,0.01,0.09,0.01,9.79,0.2,74.0,314
UGC8638A,1.77,0.04,,,,,0.32,0.01,0.22,0.01,0.59,0.01,,,,,0.26,0.01,0.45,0.01,0.055,0.003,0.039,0.002,,,,,1.0,0.02,1.39,0.03,4.17,0.08,,,0.112,0.002,0.016,0.001,0.021,0.001,0.008,0.001,0.02,0.01,2.82,0.06,0.07,0.01,0.028,0.002,0.14,0.01,0.1,0.01,0.002,0.001,41.4,0.8,129,601
UGC8638B,1.75,0.04,,,0.1,0.01,0.32,0.01,0.24,0.01,0.02,0.01,,,0.02,0.01,0.27,0.01,0.47,0.01,0.06,0.01,0.03,0.01,,,,,1.0,0.02,1.39,0.03,4.15,0.08,,,0.107,0.004,0.013,0.003,0.018,0.003,0.004,0.003,0.02,0.01,2.81,0.06,0.06,0.01,0.026,0.003,0.11,0.01,0.09,0.01,0.24,0.01,16.7,0.3,57.1,301
UGC8837A,3.46,0.01,,,0.054,0.005,0.071,0.005,0.21,0.01,0.16,0.01,,,0.02,0.01,0.24,0.01,0.47,0.01,0.019,0.003,0.03,0.003,0.009,0.003,,,1.0,0.02,0.42,0.01,1.26,0.03,0.012,0.002,0.091,0.002,0.051,0.002,0.018,0.002,0.013,0.002,0.067,0.002,2.83,0.06,0.202,0.004,0.021,0.002,0.35,0.01,0.25,0.01,0.06,0.01,35.4,0.71,114,723
NGC5477A,1.31,0.05,,,0.06,0.01,0.33,0.01,0.23,0.01,0.33,0.01,,,,,0.28,0.02,0.47,0.02,0.06,0.01,,,,,,,1.0,0.02,1.55,0.03,4.64,0.1,,,0.11,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.015,0.004,2.84,0.11,0.047,0.001,0.028,0.001,0.079,0.002,0.059,0.001,0.09,0.01,78.0,1.6,177,879
UGC9405A,3.66,0.37,,,,,,,,,,,,,,,,,0.35,0.22,,,,,,,,,1.0,0.13,0.46,0.14,1.44,0.14,,,,,,,,,,,,,2.79,0.17,0.4,0.16,,,0.76,0.15,0.55,0.14,0.1,0.01,0.48,0.06,43.6,216
UGC10818A,2.73,0.06,,,0.16,0.02,0.2,0.02,0.19,0.02,0.28,0.01,,,,,0.23,0.01,0.45,0.01,0.02,0.01,0.03,0.01,,,,,1.0,0.02,0.74,0.02,2.22,0.04,0.02,0.01,0.1,0.01,0.06,0.01,0.01,0.01,0.02,0.01,0.08,0.01,2.79,0.06,0.25,0.01,,,,,,,0.19,0.01,11.3,0.2,46.3,216
KKH098A,1.85,0.05,,,,,0.21,0.04,0.17,0.04,0.09,0.04,,,,,0.36,0.03,0.58,0.02,,,,,,,,,1.0,0.02,0.63,0.01,1.91,0.01,,,0.08,0.02,,,,,,,0.04,0.02,2.79,0.06,0.08,0.02,,,0.15,0.02,0.1,0.02,0.24,0.01,3.07,0.06,50.6,224
